Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweets Number
BBC,Tue Jun 05 13:01:07 +0000 2018,"❤️😽 This man has vowed to be the best 'cat dad' he can be after finding random kittens under his bed. 
👉… https://t.co/fWsKzfv8s3",0.6369,0.16,0.84,0.0,24
BBC,Tue Jun 05 12:00:22 +0000 2018,"😂 These knitted Poldark dolls are the best!
#TheGNShow https://t.co/Mpc1dWzojg",0.6696,0.36,0.64,0.0,25
BBC,Tue Jun 05 11:12:05 +0000 2018,"RT @BBC_ARoadshow: From artists to explorers, suffragettes to swimmers #antiquesroadshow discovers the pioneering women who have help shape…",0.4019,0.137,0.863,0.0,26
BBC,Tue Jun 05 11:00:07 +0000 2018,"How does plastic actually enter our oceans? 
#WorldEnvironmentDay https://t.co/LdOt9inVFS",0.0,0.0,1.0,0.0,27
BBC,Tue Jun 05 10:45:52 +0000 2018,RT @BBCBreakfast: Have you got yours yet? #gingeremoji https://t.co/hKwIsLspYC,0.0,0.0,1.0,0.0,28
BBC,Tue Jun 05 10:34:07 +0000 2018,RT @bbcthree: 17-year-old Dillon upcycles clothes to help young homeless people feel confident going to school or for job interviews. https…,0.7096,0.237,0.763,0.0,29
BBC,Tue Jun 05 10:31:20 +0000 2018,"RT @BBCNews: ""I was disabled before it was popular.""

@LostVoiceGuy - aka Lee Ridley - is the first comedian to win Britain's Got Talent.…",0.7506,0.242,0.758,0.0,30
BBC,Tue Jun 05 10:21:33 +0000 2018,"🎨🙌 Middle-earth in colour: How Tolkien drew his fantasy universe.
👉 https://t.co/z754byqVpR https://t.co/Jr6PnQWvIU",0.0,0.0,1.0,0.0,31
BBC,Tue Jun 05 09:34:23 +0000 2018,"It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv",0.0,0.0,1.0,0.0,32
BBC,Tue Jun 05 08:01:03 +0000 2018,Some of Arthur C Clarke's predictions about the future were bang on... https://t.co/6M7UJv6Mmh,0.0,0.0,1.0,0.0,33
BBC,Tue Jun 05 07:29:04 +0000 2018,"📎 The psychology of stealing office supplies. 
👉 https://t.co/vfXaRVYcwU https://t.co/zoPWJRXVtO",-0.5719,0.0,0.654,0.346,34
BBC,Tue Jun 05 07:00:11 +0000 2018,💤 Ever wondered what your brain is up to while you're dreaming? https://t.co/2JHc0lFKbS,0.0,0.0,1.0,0.0,35
BBC,Mon Jun 04 19:03:02 +0000 2018,"Versailles is back! Tonight, Madame de Montespan finds out how to hurt a former friend...  

#Versailles | 9pm |… https://t.co/5nEGyPoAp6",-0.5707,0.0,0.822,0.178,36
BBC,Mon Jun 04 18:31:05 +0000 2018,"The story of a group of working-class women conducting a dangerous campaign for the vote.

Suffragettes with… https://t.co/RKwQbGQMdu",-0.4767,0.0,0.829,0.171,37
BBC,Mon Jun 04 18:02:05 +0000 2018,The moment a dancing off-duty FBI agent drops his gun performing backflip and accidentally shoots man in leg. https://t.co/FIu2mCjlyP,-0.5859,0.0,0.769,0.231,38
BBC,Mon Jun 04 17:01:13 +0000 2018,"📸 From #Manhattanhenge to the world's largest freshwater pearl, here are some of the most striking news photos take… https://t.co/5Tp0s3MG7n",0.0,0.0,1.0,0.0,39
BBC,Mon Jun 04 16:01:04 +0000 2018,"🤷‍♀️😂 When @CubaGoodingJr took over @BBCBreakfast.
 https://t.co/XSPs0MOKoN",0.0,0.0,1.0,0.0,40
BBC,Mon Jun 04 13:03:05 +0000 2018,"🧔 Bearded men have been taking pictures of themselves from below and it's freaking people out...
👉… https://t.co/FQ9t0swX2t",-0.4215,0.0,0.851,0.149,41
BBC,Mon Jun 04 12:34:04 +0000 2018,RT @bbcdoctorwho: Every episode of #DoctorWho since 2005 is now available to watch on @BBCiPlayer… Enjoy! https://t.co/uNWq307bei https://t…,0.5411,0.17,0.83,0.0,42
BBC,Mon Jun 04 12:01:05 +0000 2018,"❤️ Ethan Hawke will be forever grateful to Robin Williams for helping launch his career.
#TheGNShow https://t.co/uYMvKQvuev",0.6369,0.257,0.743,0.0,43
BBC,Mon Jun 04 11:05:00 +0000 2018,"Would you describe yourself as a feminist?

#HearHer https://t.co/4UZzAu2IRO",0.0,0.0,1.0,0.0,44
BBC,Mon Jun 04 10:18:03 +0000 2018,"RT @BBCSpringwatch: Surely this is the only way to react to chicks fledging?! 😂 We sure are excited here at #Springwatch HQ! 

Thanks for c…",0.8774,0.357,0.643,0.0,45
BBC,Mon Jun 04 08:00:15 +0000 2018,"💡 Brilliant idea! 

Plastic waste is being being recycled in to amazing furniture. https://t.co/cb0lSVhAFX",0.7263,0.381,0.483,0.135,46
BBC,Mon Jun 04 07:24:07 +0000 2018,"📚 Every story in the world has one of these six basic plots. 
👉 https://t.co/eoZXHpOX4q https://t.co/YC6oLjIn1O",0.0,0.0,1.0,0.0,47
BBC,Mon Jun 04 07:00:15 +0000 2018,📸🦊 This photographer captures foxes in their most natural of habitats - the darkness. https://t.co/bkNUknwSAC,0.2006,0.166,0.715,0.119,48
BBC,Sun Jun 03 20:42:07 +0000 2018,RT @BBCTwo: Here's why @MrNishKumar wants The Spice Girls to stop right now. 😂 #LiveAtTheApollo https://t.co/Beqy2kfFah,-0.296,0.0,0.864,0.136,49
BBC,Sun Jun 03 20:03:08 +0000 2018,"A documentary about the trial of Jeremy Thorpe, which has remained unseen for nearly 40 years. 

The Jeremy Thorpe… https://t.co/jLEcBHG1Cx",0.0,0.0,1.0,0.0,50
BBC,Sun Jun 03 19:02:06 +0000 2018,"Comedian @frankieboyle is heading to Russia before the World Cup tournament begins. 

Frankie Goes to Russia | 9pm… https://t.co/moLB9EGm1Q",0.3818,0.133,0.867,0.0,51
BBC,Sun Jun 03 18:03:06 +0000 2018,"Meet the bees who make their own cologne! 🐝🇲🇽

https://t.co/wGqJoNINS2",0.0,0.0,1.0,0.0,52
BBC,Sun Jun 03 17:04:02 +0000 2018,"🦁 Be a zoo keeper for the day
🚲 Ride a bicycle made for two 
🦈 Swim with sharks 

An eight-year-old boy has created… https://t.co/PkrSoRzoXB",0.0,0.0,1.0,0.0,53
BBC,Sun Jun 03 16:10:18 +0000 2018,"🦋🏰🎥 Lotte Reiniger, a forgotten pioneer of animation, was the first person to create an animated feature film in co… https://t.co/GKBkpKVFjt",0.0516,0.095,0.818,0.086,54
BBC,Sun Jun 03 15:06:04 +0000 2018,"💍❤️ Guess that's a yes!
https://t.co/xLR4N7qtaZ",0.4574,0.428,0.572,0.0,55
BBC,Sun Jun 03 13:03:08 +0000 2018,Cow cuddling is the new wellness trend coming to a field near you... 🐮💕 https://t.co/jEwRFBzUJe https://t.co/zUzKHQ69oU,0.4404,0.172,0.828,0.0,56
BBC,Sun Jun 03 13:00:15 +0000 2018,RT @BBCOne: This audience member made Aidan Turner his own knitted Poldark doll - and it's so cute! #TheGNShow https://t.co/94h7BfhoPk,0.632,0.188,0.812,0.0,57
BBC,Sun Jun 03 12:03:08 +0000 2018,The one and only Jeff Goldblum reveals how to do 'the look' that every Jurassic Park actor does when they first see… https://t.co/H8dOEmsDMr,0.0,0.0,1.0,0.0,58
BBC,Sun Jun 03 11:03:08 +0000 2018,These beautiful black and white photographs of London remained hidden in a loft for 30 years before they were disco… https://t.co/F4PDR8kW81,0.5994,0.17,0.83,0.0,59
BBC,Sun Jun 03 10:30:00 +0000 2018,"The Queen loves the Highland pony and has set up a breeding programme to ensure they continue to survive. ❤️ 

Coun… https://t.co/S7fUN1WmK0",0.743,0.249,0.751,0.0,60
BBC,Sun Jun 03 10:04:05 +0000 2018,"These adorable baby hares snuggle together for warmth and comfort. 🐰💕
https://t.co/LgJsY4XuHD",0.8271,0.492,0.508,0.0,61
BBC,Sun Jun 03 08:03:02 +0000 2018,"This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa",0.0,0.0,1.0,0.0,62
BBC,Sun Jun 03 07:32:06 +0000 2018,"Intuition has fallen out of favour in an age of rational, analytical thinking. But should you still trust your gut?… https://t.co/pl8SydpXfy",0.5719,0.232,0.674,0.094,63
BBC,Sun Jun 03 07:04:03 +0000 2018,"Remembering the people of Bunce Island, who were sold into the British slave trade. 

https://t.co/HV5AWuWA29",0.0,0.0,1.0,0.0,64
BBC,Sun Jun 03 06:31:32 +0000 2018,RT @bbcweather: Today will be fine and warm with plenty of sunshine for the majority of the country apart for an isolated heavy shower. Sco…,0.5574,0.228,0.695,0.076,65
BBC,Sat Jun 02 19:10:08 +0000 2018,"Women are more likely to wait longer for a health diagnosis and to be told it’s ‘all in their heads’.
👉… https://t.co/9u3Pb6hQpT",0.0,0.0,1.0,0.0,66
BBC,Sat Jun 02 19:02:05 +0000 2018,"A once-in-a-lifetime conversation with Eileen Atkins, Judi Dench, Maggie Smith and Joan Plowright. ✨

Nothing Like… https://t.co/JxH075mKLm",0.4215,0.167,0.833,0.0,67
BBC,Sat Jun 02 17:29:00 +0000 2018,"Not long to go now...⚽️

#HistoryWillBeMade https://t.co/Q2BX0nK5vg",0.0,0.0,1.0,0.0,68
BBC,Sat Jun 02 17:05:04 +0000 2018,A project to provide free sanitary products to women from low income households in Aberdeen is to be rolled out acr… https://t.co/wfdK5nWCsC,0.296,0.135,0.779,0.086,69
BBC,Sat Jun 02 17:04:03 +0000 2018,🍽️🤣 When you’re too polite to complain. https://t.co/CrzNNixuaY,-0.3612,0.0,0.737,0.263,70
BBC,Sat Jun 02 16:04:07 +0000 2018,🌏💫 13.8 billion years of our universe's history packed into four minutes. https://t.co/EBGmVry69j,0.0,0.0,1.0,0.0,71
BBC,Sat Jun 02 15:46:29 +0000 2018,RT @BBCShakespeare: Turns out even #Shakespeare acting legends love a good get together. 🎭 Tag those special friends you share everything w…,0.9337,0.502,0.498,0.0,72
BBC,Sat Jun 02 15:02:06 +0000 2018,"Anthony Hopkins. Emma Thompson. William Shakespeare...

👑 It really doesn't get much better than this.  
#KingLear https://t.co/wQBYFQIIlf",-0.3412,0.0,0.862,0.138,73
BBC,Sat Jun 02 14:04:04 +0000 2018,"📱 Are health apps actually bad for your health?

'The danger is when we reduce our self-worth to a number.'
👉… https://t.co/AOWkdvf3TY",-0.7845,0.0,0.723,0.277,74
BBC,Sat Jun 02 13:09:14 +0000 2018,"RT @BBCSpringwatch: BREAKING NEWS! 🚨

Our wrens have started to fledge the nest 😍 Stay up to date at https://t.co/gIA23qZAHX
#Springwatch h…",0.0,0.0,1.0,0.0,75
BBC,Sat Jun 02 13:01:05 +0000 2018,"In 1966, a group of schoolchildren made some sad and uncannily accurate predictions about the future. https://t.co/gNGkpeyoZ9",-0.4767,0.0,0.829,0.171,76
BBC,Sat Jun 02 12:02:03 +0000 2018,"🤔👔 This men's T-shirt shirt is selling for £935 and it's left loads of people pretty baffled.
👉… https://t.co/yONjwKqdkz",0.4939,0.151,0.849,0.0,77
BBC,Sat Jun 02 11:06:03 +0000 2018,🦆 Swans have been borrowing items from @SteveBackshall to build their nests for the last few years.  https://t.co/d5S5PG9Ygi,0.0,0.0,1.0,0.0,78
BBC,Sat Jun 02 09:00:14 +0000 2018,"📸🐶 Call the puparazzi, these divas are ready to shine! 💎https://t.co/zYrpgXF69z",0.4199,0.218,0.782,0.0,79
BBC,Sat Jun 02 08:01:03 +0000 2018,"🙌❤️ Take us back to @NiallOfficial at #BiggestWeekend.

There's still time to catch up on this incredible set + lot… https://t.co/sP2h8cjgsw",0.0,0.0,1.0,0.0,80
BBC,Sat Jun 02 07:51:56 +0000 2018,"RT @bbcmusic: We knew @TaylorSwift13 was trouble when she touched down in Swansea 😅😍

Watch her showstopping @BBCR1 #BiggestWeekend set in…",-0.4019,0.0,0.881,0.119,81
BBC,Fri Jun 01 19:06:04 +0000 2018,🎤❤️ #BTS are on the lips and screens of fans everywhere as the #Kpop band smash records in real life and on social… https://t.co/h7KwxeZQm5,0.0,0.0,1.0,0.0,82
BBC,Fri Jun 01 18:01:07 +0000 2018,😈 Cute...but deadly. https://t.co/lhpd0watrN,0.0,0.0,1.0,0.0,83
BBC,Fri Jun 01 16:33:00 +0000 2018,Leaving work on a Friday like... 👋💃#FridayFeeling @Camila_Cabello https://t.co/oJUssdSPfb,0.0,0.0,1.0,0.0,84
BBC,Fri Jun 01 16:04:04 +0000 2018,🧠🎞 A film where the plot changes depending on the viewer’s brain activity has been developed. https://t.co/7UCYCO7Xyz,0.0,0.0,1.0,0.0,85
BBC,Fri Jun 01 15:29:31 +0000 2018,RT @BBCScotland: Watch one of Scotland's best-known structures appear from the mist in this stunning timelapse https://t.co/h0mUFTKcmQ,0.4588,0.158,0.842,0.0,86
BBC,Fri Jun 01 14:24:40 +0000 2018,"RT @bbcgetinspired: Meet the Nawaz family and hear how #SuperMovers is helping them get a better night’s sleep. 

Remember to check out Sup…",0.6249,0.203,0.797,0.0,87
BBC,Fri Jun 01 13:00:21 +0000 2018,"A natural hair dye based on the blackcurrant waste from the production of Ribena has been created by scientists.
👉… https://t.co/4e001z6rPc",0.1779,0.185,0.7,0.115,88
BBC,Fri Jun 01 12:32:03 +0000 2018,"Smithy knows how to celebrate #nationalfishandchipday properly. 😂🍟

https://t.co/FFV75BsW0Q",0.5719,0.316,0.684,0.0,89
BBC,Fri Jun 01 12:01:05 +0000 2018,"🌽🍔🌮 Vegan junk food, anyone? 
#MillionPoundMenu https://t.co/MY5i9Xph5H",0.0,0.0,1.0,0.0,90
BBC,Fri Jun 01 11:10:46 +0000 2018,RT @BBCTwo: Want to learn some quick Swedish and Danish? Here’s the cast of #TheBridge with some everyday phrases you might need… ☠😱 https:…,0.0772,0.053,0.947,0.0,91
BBC,Fri Jun 01 11:00:16 +0000 2018,😢 @NatGeoMag has published a selection of startling photos highlighting the vast amounts of discarded plastic choki… https://t.co/vdjw1nnW36,-0.2732,0.073,0.791,0.136,92
BBC,Fri Jun 01 10:28:25 +0000 2018,"RT @BBCBreakfast: Come on then, who wants to get their hands on the world's largest freshwater pearl? 🙋🙋‍♂️ https://t.co/C0QV5sHSRx",0.0,0.0,1.0,0.0,93
BBC,Fri Jun 01 10:01:36 +0000 2018,"🎶 Won’t you listen to the man that’s… reading you a #BedtimeStory! 
 
📚 Catch @george_ezra tonight on #CBeebies! https://t.co/mcCzqePrQ7",0.0,0.0,1.0,0.0,94
BBC,Fri Jun 01 08:20:46 +0000 2018,"RT @BBC6Music: Which Biggest Weekend sets will you be watching back on iPlayer?

We asked Neneh (@misscherrylala), @Hanpeel, @Franz_Ferdina…",0.0,0.0,1.0,0.0,95
BBC,Fri Jun 01 08:00:05 +0000 2018,"This guy is INCREDIBLE 😂
#Hardball https://t.co/HiI4Uxe5TZ",0.0,0.0,1.0,0.0,96
BBC,Fri Jun 01 07:33:03 +0000 2018,The 1960s counterculture fuelled an artistic explosion in the US – but were the flower children merely privileged?… https://t.co/T81ZRLcQQr,0.0,0.0,1.0,0.0,97
BBC,Fri Jun 01 07:00:15 +0000 2018,Is individualism to be celebrated or lamented? https://t.co/85gs317qM5,0.3182,0.306,0.496,0.198,98
BBC,Thu May 31 19:02:02 +0000 2018,"'There's nothing a man can do that a woman cannot do'. 

Meet the Nigerian girls fighting out of poverty. 🥊

https://t.co/d0fm8HShEK",-0.7003,0.0,0.734,0.266,99
BBC,Thu May 31 18:03:07 +0000 2018,"Did @PanicAtTheDisco's @BrendonUrie just reveal he was almost in The Greatest Showman? 😱🎶

https://t.co/7YXvyrTfHw",0.6041,0.232,0.768,0.0,100
CNN,Thu Jun 07 01:32:15 +0000 2018,.@ChrisCuomo challenges White House press secretary Sarah Sanders for repeatedly calling special counsel Mueller's… https://t.co/iO7ujABJcM,0.4588,0.235,0.765,0.0,1
CNN,Thu Jun 07 01:27:50 +0000 2018,Speaker company Sonos doesn't have its own voice assistant. Now it is trying to turn that into its biggest selling… https://t.co/YvtKYudbNc,0.0,0.0,1.0,0.0,2
CNN,Thu Jun 07 01:18:43 +0000 2018,Republican lawmakers point to positive signs after California election night https://t.co/XhDN9imEkx https://t.co/IpPU65gmoT,0.5574,0.247,0.753,0.0,3
CNN,Thu Jun 07 00:55:20 +0000 2018,"""You aren't listening"": Philadelphia Eagles star Malcom Jenkins wanted to be heard, so he shared his message by put… https://t.co/3I7iqR9Nem",0.3976,0.124,0.876,0.0,4
CNN,Thu Jun 07 00:50:52 +0000 2018,Alice Marie Johnson has been released from prison. President Trump commuted her sentence today after meeting with K… https://t.co/bdPpqx3IS0,-0.4588,0.06,0.787,0.153,5
CNN,Thu Jun 07 00:48:09 +0000 2018,"RT @AC360: “Mr. Giuliani is an absolute pig for making those comments.”

Stormy Daniels’ attorney Michael Avenatti says Rudy Giuliani's der…",0.0,0.0,1.0,0.0,6
CNN,Thu Jun 07 00:43:32 +0000 2018,Here are some key events in the talks between the Trump and Mueller teams https://t.co/FvnNPCv1Wd https://t.co/EqNaJTu7j4,0.0,0.0,1.0,0.0,7
CNN,Thu Jun 07 00:41:46 +0000 2018,Tesla's stock price soared as investors were encouraged by CEO Elon Musk's pledge that Model 3 production has turne… https://t.co/woKx2yOrOJ,0.3612,0.122,0.878,0.0,8
CNN,Thu Jun 07 00:37:53 +0000 2018,"RT @AC360: ""I want to say to President Trump: I am going to make you proud that you gave me this second chance in life.""

Alice Marie Johns…",0.6597,0.211,0.789,0.0,9
CNN,Thu Jun 07 00:36:30 +0000 2018,“My daughter continues to always tell me I remind her of a phoenix… I guess in order to be a phoenix I had to rise… https://t.co/aLk4zOV2sW,0.0,0.0,1.0,0.0,10
CNN,Thu Jun 07 00:32:29 +0000 2018,"Facebook says it has a deal to share user data with Huawei, a Chinese smartphone maker that US intelligence agencie… https://t.co/YczpPvzaDo",0.6486,0.238,0.762,0.0,11
CNN,Thu Jun 07 00:30:57 +0000 2018,RT @AC360: “My daughter continues to always tell me I remind her of a phoenix… I guess in order to be a phoenix I had to rise above the ash…,0.0,0.0,1.0,0.0,12
CNN,Thu Jun 07 00:20:41 +0000 2018,What do giant doughnuts and a hot dog as big as a firetruck have in common? They are some of the peculiar buildings… https://t.co/w3PuI5PK5s,0.1531,0.071,0.929,0.0,13
CNN,Thu Jun 07 00:16:17 +0000 2018,"Alice Marie Johnson to President Trump: ""I am going to make you proud that you gave me this second chance in life a… https://t.co/azeC8qVnRd",0.6249,0.188,0.812,0.0,14
CNN,Thu Jun 07 00:10:23 +0000 2018,"Alice Marie Johnson on leaving prison after Trump commuted her sentence: ""I have not been in a car without handcuff… https://t.co/WjZ4McT3qv",-0.4588,0.058,0.796,0.146,15
CNN,Thu Jun 07 00:09:34 +0000 2018,Polling in the last year has been split half and half on support for players in the NFL kneeling during the Nationa… https://t.co/YszquEzeSf,0.4019,0.109,0.891,0.0,16
CNN,Wed Jun 06 23:57:36 +0000 2018,"""It was a complete shock. And it clearly wasn't her. There were personal demons she was battling."" The husband of f… https://t.co/drurep0qtK",0.0258,0.111,0.782,0.107,17
CNN,Wed Jun 06 23:54:55 +0000 2018,US officials have laid the groundwork for President Donald Trump and North Korean leader Kim Jong Un to hold a seco… https://t.co/rb4cTaAb8V,0.0,0.0,1.0,0.0,18
CNN,Wed Jun 06 23:53:37 +0000 2018,"The police chief in Mesa, Arizona, says he was ""disappointed"" by a video that shows officers punching and kneeing a… https://t.co/7GEC34NeNw",0.0,0.0,1.0,0.0,19
CNN,Wed Jun 06 23:48:01 +0000 2018,The maker of Jack Daniel's is worried about the impact of a trade war https://t.co/I7mLyVwwUU https://t.co/y3mxK9Ge0u,-0.7269,0.0,0.681,0.319,20
CNN,Wed Jun 06 23:42:07 +0000 2018,"She was kidnapped by Salvadoran guerrillas three decades ago, watched her husband be killed, and forced to cook and… https://t.co/3uUOoIEH7R",-0.8176,0.0,0.706,0.294,21
CNN,Wed Jun 06 23:36:05 +0000 2018,"EPA Administrator Scott Pruitt on Chick-fil-A: ""We need more of them in Tulsa and we need more of them across the c… https://t.co/7E7jP3lbc2",0.0,0.0,1.0,0.0,22
CNN,Wed Jun 06 23:31:09 +0000 2018,"The wife of Trump campaign aide George Papadopoulos, who pleaded guilty to lying about his Russian contacts, asks P… https://t.co/XF0h8mEKs8",-0.7351,0.0,0.744,0.256,23
CNN,Wed Jun 06 23:26:03 +0000 2018,IHOP says it's changing its name to IHOb https://t.co/OMvnRKOUhq https://t.co/4IgRjsHTZH,0.0,0.0,1.0,0.0,24
CNN,Wed Jun 06 23:21:05 +0000 2018,"An EPA spokesperson referred to a reporter as a ""piece of trash"" when the journalist phoned for comment on a story… https://t.co/FRFCwsvwTZ",0.0,0.0,1.0,0.0,25
CNN,Wed Jun 06 23:16:03 +0000 2018,"A 64-year-old woman in Australia died after contracting hepatitis A linked to frozen pomegranate seeds, according t… https://t.co/HAGs4p64yJ",-0.5574,0.0,0.806,0.194,26
CNN,Wed Jun 06 23:11:06 +0000 2018,"Zach Wahls, an activist for LGBTQ rights who rose to prominence for a viral speech defending marriage equality and… https://t.co/5Bf6UKiRT1",0.0,0.0,1.0,0.0,27
CNN,Wed Jun 06 23:06:07 +0000 2018,"Former NYC Mayor and current Trump lawyer Rudy Giuliani has received a dismal favorability rating, according to a Q… https://t.co/DVNlaKVBXo",-0.6124,0.0,0.81,0.19,28
CNN,Wed Jun 06 23:04:23 +0000 2018,Apple is getting closer and closer to becoming the first $1 trillion American company https://t.co/JRSmeYd5lT https://t.co/q1PvmCBoJn,0.0,0.0,1.0,0.0,29
CNN,Wed Jun 06 22:57:55 +0000 2018,Senate Republicans have accused the Obama administration of secretly trying to give Tehran access to the US financi… https://t.co/hlBOZ6n70e,-0.296,0.0,0.891,0.109,30
CNN,Wed Jun 06 22:50:53 +0000 2018,"Dennis Rodman is ""considering going to Singapore"" for the upcoming Trump-Kim summit, his agent says. The former NBA… https://t.co/d705nzmGhM",0.0,0.0,1.0,0.0,31
CNN,Wed Jun 06 22:47:33 +0000 2018,"Former NBA star Dennis Rodman is ""considering going to Singapore,"" for the upcoming summit between President Donald… https://t.co/QC04uVfYN3",0.0,0.0,1.0,0.0,32
CNN,Wed Jun 06 22:41:38 +0000 2018,EPA Administrator Scott Pruitt appeared to confirm recent reports that he looked into the potential of his wife ope… https://t.co/UyKGmTPeOM,0.0,0.0,1.0,0.0,33
CNN,Wed Jun 06 22:33:07 +0000 2018,"BREAKING: Alice Marie Johnson has just been released from prison after Trump commuted her sentence. ""I'm just so th… https://t.co/umxk4rr455",-0.4588,0.058,0.796,0.146,34
CNN,Wed Jun 06 22:21:24 +0000 2018,"Adult film actress Stormy Daniels has launched a new lawsuit against her former attorney, Keith Davidson, as well a… https://t.co/s841T6wEBs",0.1779,0.167,0.744,0.088,35
CNN,Wed Jun 06 22:16:31 +0000 2018,A British man who was credited with stopping a worldwide WannaCry ransomware attack last year faces new federal cha… https://t.co/bxIxE1H2X5,-0.296,0.113,0.676,0.212,36
CNN,Wed Jun 06 22:09:15 +0000 2018,How the Democrats avoided disaster in California https://t.co/1Q3QSDPXzE https://t.co/Ujcjyf4EDJ,-0.7579,0.0,0.519,0.481,37
CNN,Wed Jun 06 21:55:22 +0000 2018,"Electric cars could put 100,000 German jobs at risk https://t.co/DSsF1BPcvF https://t.co/MF9OlE8Hfx",-0.2732,0.0,0.826,0.174,38
CNN,Wed Jun 06 21:41:28 +0000 2018,"A federal judge has once again rebuked the administration's efforts to pressure so-called sanctuary cities, going f… https://t.co/KmSqtspmLJ",-0.296,0.0,0.879,0.121,39
CNN,Wed Jun 06 21:41:00 +0000 2018,"First responders in Russellville, Arkansas, went above and beyond the call of duty to surprise a teen with autism a… https://t.co/ZD2Oc0jUPQ",0.2732,0.1,0.9,0.0,40
CNN,Wed Jun 06 21:40:51 +0000 2018,.@ChrisCuomo on NFL anthem controversy: “Unconditional love for this country is expressed in our freedom and our re… https://t.co/eDjorqfCP4,0.8555,0.331,0.669,0.0,41
CNN,Wed Jun 06 21:26:08 +0000 2018,A dessert shop employee protected a gay couple from a group of people yelling slurs during Utah's Pride festival… https://t.co/sP7PwrKzTT,0.6486,0.261,0.739,0.0,42
CNN,Wed Jun 06 21:18:27 +0000 2018,Fashion designer Kate Spade's suicide spotlights the importance of recognizing the potential warning signs when som… https://t.co/41yI7NzlwA,-0.6597,0.107,0.598,0.295,43
CNN,Wed Jun 06 21:11:09 +0000 2018,US Immigration and Customs Enforcement officers arrested 114 undocumented immigrants working at an Ohio gardening b… https://t.co/yaqBZp41jI,-0.4767,0.0,0.838,0.162,44
CNN,Wed Jun 06 21:05:50 +0000 2018,"President Donald Trump visited FEMA, but remained mum on a new estimate of the death toll from Hurricane Maria and… https://t.co/KlmNYSf3Rx",-0.7469,0.0,0.78,0.22,45
CNN,Wed Jun 06 20:59:02 +0000 2018,A Milwaukee police officer stepped on NBA player Sterling Brown's ankle during his arrest and others mocked any pot… https://t.co/XrPrJw85yS,-0.5719,0.0,0.783,0.217,46
CNN,Wed Jun 06 20:51:20 +0000 2018,In retaliation for the Trump administration announcing tariffs on steel and aluminum imports from Mexico and much o… https://t.co/LVdflRnYUc,0.0,0.0,1.0,0.0,47
CNN,Wed Jun 06 20:48:04 +0000 2018,The Justice Department reaffirmed that Deputy Attorney General Rod Rosenstein would step aside from overseeing the… https://t.co/DgI3CKTkgF,0.5267,0.175,0.825,0.0,48
CNN,Wed Jun 06 20:45:31 +0000 2018,"General Motors' president Dan Ammann is leaving Lyft's board.

The rideshare firm and GM, once partners, have becom… https://t.co/tgeTp6CR8R",0.0,0.0,1.0,0.0,49
CNN,Wed Jun 06 20:42:47 +0000 2018,A US-North Korea friendship would be a perfect bulwark against China | By S. Nathan Park via @CNNOpinion… https://t.co/LWERhpgXta,0.765,0.32,0.68,0.0,50
